version,version_name,start_date,end_date,5_star_characters,rerun,revenue,banner_days,avg_revenue
1.0,Welcome to Tevyat,25/09/2020,19/10/2020,Venti,0,"30,632,752",25,"1,225,310.08"
1.0,Welcome to Tevyat,20/10/2020,10/11/2020,Klee,0,"22,750,080",22,"1,034,094.55"
1.1,A New Star Approaches,11/11/2020,30/11/2020,Tartaglia,0,"13,443,619",20,"672,180.95"
1.1,A New Star Approaches,01/12/2020,22/12/2020,Zhongli,0,"16,264,892",22,"739,313.27"
1.2,The Chalk Prince and the Dragon,23/12/2020,12/01/2021,Albedo,0,"11,816,107",21,"562,671.76"
1.2,The Chalk Prince and the Dragon,13/01/2021,02/02/2021,Ganyu,0,"15,669,918",21,"746,186.57"
1.3,All That Glitters,03/02/2021,17/02/2021,Xiao,0,"13,145,115",15,"876,341.00"
1.3,All That Glitters,18/02/2021,02/03/2021,Keqing,0,"9,505,798",13,"731,215.23"
1.3,All That Glitters,03/03/2021,16/03/2021,Hu Tao,0,"12,481,634",14,"891,545.29"
1.4,Invitation to Windblume,17/03/2021,06/04/2021,Venti,1,"16,614,209",21,"791,152.81"
1.4,Invitation to Windblume,07/04/2021,27/04/2021,Tartaglia,1,"6,965,445",21,"331,687.86"
1.5,Beneath the Light of Jadeite,28/04/2021,18/05/2021,Zhongli,1,"10,215,165",21,"486,436.43"
1.5,Beneath the Light of Jadeite,19/05/2021,08/06/2021,Eula,0,"12,619,390",21,"600,923.33"
1.6,Midsummer Island Adventure,09/06/2021,29/06/2021,Klee,1,"7,006,180",21,"333,627.62"
1.6,Midsummer Island Adventure,30/06/2021,20/07/2021,Kaedehara Kazuha,0,"9,807,112",21,"467,005.33"
2.0,Immovable God and the Eternal Euthymia,21/07/2021,10/08/2021,Kamisato Ayaka,0,"16,451,006",21,"783,381.24"
2.0,Immovable God and the Eternal Euthymia,11/08/2021,31/08/2021,Yoimiya,0,"8,615,144",21,"410,244.95"
2.1,Floating World Under the Moonlight,01/09/2021,20/09/2021,Raiden Shogun,0,"33,020,905",20,"1,651,045.25"
2.1,Floating World Under the Moonlight,21/09/2021,12/10/2021,Sangonomiya Kokomi,0,"7,020,975",22,"319,135.23"
2.2,Into the Perilous Labyrinth of Fog,13/10/2021,02/11/2021,Tartaglia,2,"7,785,438",21,"370,735.14"
2.2,Into the Perilous Labyrinth of Fog,02/11/2021,23/11/2021,Hu Tao,1,"25,226,952",22,"1,146,679.64"
2.3,Shadows Amidst Snowstorms,24/11/2021,14/12/2021,Albedo,1,"17,026,066",21,"810,765.05"
2.3,Shadows Amidst Snowstorms,24/11/2021,14/12/2021,Eula,1,"17,026,066",21,"810,765.05"
2.3,Shadows Amidst Snowstorms,14/12/2021,04/01/2022,Arataki Itto,0,"13,404,072",22,"609,276.00"
2.4,Fleeting Colors in Flight,05/01/2022,25/01/2022,Shenhe ,0,"16,994,406",21,"809,257.43"
2.4,Fleeting Colors in Flight,05/01/2022,25/01/2022,Xiao,1,"16,994,406",21,"809,257.43"
2.4,Fleeting Colors in Flight,25/01/2022,15/02/2022,Zhongli,2,"26,780,298",22,"1,217,286.27"
2.4,Fleeting Colors in Flight,25/01/2022,15/02/2022,Ganyu,1,"26,780,298",22,"1,217,286.27"
2.5,When the Sakura Bloom,16/02/2022,08/03/2022,Yae Miko,0,"15,110,264",21,"719,536.38"
2.5,When the Sakura Bloom,08/03/2022,29/03/2022,Raiden Shogun,1,"33,560,259",22,"1,525,466.32"
2.5,When the Sakura Bloom,08/03/2022,29/03/2022,Sangonomiya Kokomi,1,"33,560,259",22,"1,525,466.32"
2.6,Zephyr of the Violet Garden,30/03/2022,19/04/2022,Kamisato Ayato,0,"22,767,455",21,"1,084,164.52"
2.6,Zephyr of the Violet Garden,30/03/2022,19/04/2022,Venti,2,"22,767,455",21,"1,084,164.52"
2.6,Zephyr of the Violet Garden,19/04/2022,31/05/2022,Kamisato Ayaka,1,"35,939,066",43,"835,792.23"
2.7,Hidden Dreams in the Depths,31/05/2022,21/06/2022,Yelan ,0,"25,612,693",22,"1,164,213.32"
2.7,Hidden Dreams in the Depths,31/05/2022,21/06/2022,Xiao,2,"25,612,693",22,"1,164,213.32"
