cname,carea,ename,earea,2022年年房价-元/平方米,2021年房价-元/平方米,2020年房价-元/平方米
中西區,香港島,Central and Western,Hong Kong Island,251522,209242,213528
灣仔區,香港島,Wan Chai,Hong Kong Island,244956,185026,195782
東區,香港島,Eastern,Hong Kong Island,199389,155209,169811
南區,香港島,Southern,Hong Kong Island,225811,182907,189274
油尖旺區,九龍,Yau Tsim Mong,Kowloon,211200,167674,192319
深水埗區,九龍,Sham Shui Po,Kowloon,172878,141771,156151
九龍城區,九龍,Kowloon City,Kowloon,198278,144287,169037
黃大仙區,九龍,Wong Tai Sin,Kowloon,166189,134023,153879
觀塘區,九龍,Kwun Tong,Kowloon,161889,127710,142461
葵青區,新界及離島,Kwai Tsing,New Territories and Islands,164400,126718,138553
荃灣區,新界及離島,Tsuen Wan,New Territories and Islands,152800,124030,128395
屯門區,新界及離島,Tuen Mun,New Territories and Islands,142900,107038,119169
元朗區,新界及離島,Yuen Long,New Territories and Islands,144589,111602,121421
北區,新界及離島,North,New Territories and Islands,146567,108617,124714
大埔區,新界及離島,Tai Po,New Territories and Islands,153400,117699,127194
沙田區,新界及離島,Sha Tin,New Territories and Islands,174522,136323,153106
西貢區,新界及離島,Sai Kung,New Territories and Islands,206878,147904,153106
離島區,新界及離島,Islands,New Territories and Islands,146578,110294,115667
