cname,carea,ename,earea,HKD/m2,year
中西區,香港島,Central and Western,Hong Kong Island,213528,2020
灣仔區,香港島,Wan Chai,Hong Kong Island,195782,2020
東區,香港島,Eastern,Hong Kong Island,169811,2020
南區,香港島,Southern,Hong Kong Island,189274,2020
油尖旺區,九龍,Yau Tsim Mong,Kowloon,192319,2020
深水埗區,九龍,Sham Shui Po,Kowloon,156151,2020
九龍城區,九龍,Kowloon City,Kowloon,169037,2020
黃大仙區,九龍,Wong Tai Sin,Kowloon,153879,2020
觀塘區,九龍,Kwun Tong,Kowloon,142461,2020
葵青區,新界及離島,Kwai Tsing,New Territories and Islands,138553,2020
荃灣區,新界及離島,Tsuen Wan,New Territories and Islands,128395,2020
屯門區,新界及離島,Tuen Mun,New Territories and Islands,119169,2020
元朗區,新界及離島,Yuen Long,New Territories and Islands,121421,2020
北區,新界及離島,North,New Territories and Islands,124714,2020
大埔區,新界及離島,Tai Po,New Territories and Islands,127194,2020
沙田區,新界及離島,Sha Tin,New Territories and Islands,153106,2020
西貢區,新界及離島,Sai Kung,New Territories and Islands,153106,2020
離島區,新界及離島,Islands,New Territories and Islands,115667,2020
中西區,香港島,Central and Western,Hong Kong Island,209242,2021
灣仔區,香港島,Wan Chai,Hong Kong Island,185026,2021
東區,香港島,Eastern,Hong Kong Island,155209,2021
南區,香港島,Southern,Hong Kong Island,182907,2021
油尖旺區,九龍,Yau Tsim Mong,Kowloon,167674,2021
深水埗區,九龍,Sham Shui Po,Kowloon,141771,2021
九龍城區,九龍,Kowloon City,Kowloon,144287,2021
黃大仙區,九龍,Wong Tai Sin,Kowloon,134023,2021
觀塘區,九龍,Kwun Tong,Kowloon,127710,2021
葵青區,新界及離島,Kwai Tsing,New Territories and Islands,126718,2021
荃灣區,新界及離島,Tsuen Wan,New Territories and Islands,124030,2021
屯門區,新界及離島,Tuen Mun,New Territories and Islands,107038,2021
元朗區,新界及離島,Yuen Long,New Territories and Islands,111602,2021
北區,新界及離島,North,New Territories and Islands,108617,2021
大埔區,新界及離島,Tai Po,New Territories and Islands,117699,2021
沙田區,新界及離島,Sha Tin,New Territories and Islands,136323,2021
西貢區,新界及離島,Sai Kung,New Territories and Islands,147904,2021
離島區,新界及離島,Islands,New Territories and Islands,110294,2021
中西區,香港島,Central and Western,Hong Kong Island,251522,2022
灣仔區,香港島,Wan Chai,Hong Kong Island,244956,2022
東區,香港島,Eastern,Hong Kong Island,199389,2022
南區,香港島,Southern,Hong Kong Island,225811,2022
油尖旺區,九龍,Yau Tsim Mong,Kowloon,211200,2022
深水埗區,九龍,Sham Shui Po,Kowloon,172878,2022
九龍城區,九龍,Kowloon City,Kowloon,198278,2022
黃大仙區,九龍,Wong Tai Sin,Kowloon,166189,2022
觀塘區,九龍,Kwun Tong,Kowloon,161889,2022
葵青區,新界及離島,Kwai Tsing,New Territories and Islands,164400,2022
荃灣區,新界及離島,Tsuen Wan,New Territories and Islands,152800,2022
屯門區,新界及離島,Tuen Mun,New Territories and Islands,142900,2022
元朗區,新界及離島,Yuen Long,New Territories and Islands,144589,2022
北區,新界及離島,North,New Territories and Islands,146567,2022
大埔區,新界及離島,Tai Po,New Territories and Islands,153400,2022
沙田區,新界及離島,Sha Tin,New Territories and Islands,174522,2022
西貢區,新界及離島,Sai Kung,New Territories and Islands,206878,2022
離島區,新界及離島,Islands,New Territories and Islands,146578,2022
