cname,carea,ename,earea,air,Noise,facility,traffic,income,education,houseprice,population,financial,environment
荃灣區,新界及離島,Tsuen Wan,New Territories and Islands,3,14,12,8,15,11,14,320.1,83,57
離島區,新界及離島,Islands,New Territories and Islands,16,17,18,3,11,12,15,185.3,79,75
元朗區,新界及離島,Yuen Long,New Territories and Islands,5,1,4,7,7,7,17,185.3,72,28
屯門區,新界及離島,Tuen Mun,New Territories and Islands,4,9,9,4,6,5,18,506.9,71,39
大埔區,新界及離島,Tai Po,New Territories and Islands,17,13,2,6,8,8,13,316.5,63,46
西貢區,新界及離島,Sai Kung,New Territories and Islands,18,11,1,1,16,16,5,489,63,33
北區,新界及離島,North,New Territories and Islands,11,12,17,2,5,4,16,309.6,62,61
九龍城區,九龍,Kowloon City,Kowloon,9,5,13,13,12,15,7,410.6,60,66
灣仔區,香港島,Wan Chai,Hong Kong Island,7,7,16,18,17,18,2,166.7,58,82
東區,香港島,Eastern,Hong Kong Island,14,10,10,16,13,13,6,529.6,57,76
中西區,香港島,Central and Western,Hong Kong Island,13,3,15,17,18,17,1,236,56,76
沙田區,新界及離島,Sha Tin,New Territories and Islands,10,8,3,5,9,10,8,692.8,52,34
南區,香港島,Southern,Hong Kong Island,15,18,5,15,14,9,3,263.3,46,73
油尖旺區,九龍,Yau Tsim Mong,Kowloon,8,2,14,14,10,13,4,310.6,45,66
觀塘區,九龍,Kwun Tong,Kowloon,1,6,8,10,2,3,12,673.2,43,43
葵青區,新界及離島,Kwai Tsing,New Territories and Islands,2,15,11,9,4,1,11,495.8,42,57
黃大仙區,九龍,Wong Tai Sin,Kowloon,12,16,6,11,3,2,10,406.8,38,62
深水埗區,九龍,Sham Shui Po,Kowloon,6,4,7,12,1,6,9,431.1,35,48
