cname,carea,ename,earea,NoiseComplaints
中西區,香港島,Central and Western,Hong Kong Island,426
灣仔區,香港島,Wan Chai,Hong Kong Island,300
東區,香港島,Eastern,Hong Kong Island,266
南區,香港島,Southern,Hong Kong Island,102
油尖旺區,九龍,Yau Tsim Mong,Kowloon,539
深水埗區,九龍,Sham Shui Po,Kowloon,374
九龍城區,九龍,Kowloon City,Kowloon,356
黃大仙區,九龍,Wong Tai Sin,Kowloon,155
觀塘區,九龍,Kwun Tong,Kowloon,312
葵青區,新界及離島,Kwai Tsing,New Territories and Islands,166
荃灣區,新界及離島,Tsuen Wan,New Territories and Islands,188
屯門區,新界及離島,Tuen Mun,New Territories and Islands,271
元朗區,新界及離島,Yuen Long,New Territories and Islands,559
北區,新界及離島,North,New Territories and Islands,225
大埔區,新界及離島,Tai Po,New Territories and Islands,209
沙田區,新界及離島,Sha Tin,New Territories and Islands,279
西貢區,新界及離島,Sai Kung,New Territories and Islands,242
離島區,新界及離島,Islands,New Territories and Islands,128
