cname,carea,ename,earea,population2015,population2016,population2017,population2018,population2019,population2020,population2021
中西區,香港島,Central and Western,Hong Kong Island,248.6,243.3,244.3,245.2,243.2,238.6,236
灣仔區,香港島,Wan Chai,Hong Kong Island,151.8,180.1,181.2,181.9,180.3,175,166.7
東區,香港島,Eastern,Hong Kong Island,575.7,555,552.1,552,551.4,543.5,529.6
南區,香港島,Southern,Hong Kong Island,275.2,275,270.9,273.1,271.7,267.8,263.3
油尖旺區,九龍,Yau Tsim Mong,Kowloon,322.1,343,337.4,335.3,332.9,325.7,310.6
深水埗區,九龍,Sham Shui Po,Kowloon,395.1,405.9,407.2,404.2,423.8,440.5,431.1
九龍城區,九龍,Kowloon City,Kowloon,410.8,418.7,418.3,421,426.7,425.7,410.6
黃大仙區,九龍,Wong Tai Sin,Kowloon,430,425.2,424.8,423.8,421,418.8,406.8
觀塘區,九龍,Kwun Tong,Kowloon,645.8,648.5,669.8,683.6,695.3,693.2,673.2
葵青區,新界及離島,Kwai Tsing,New Territories and Islands,514.7,520.6,515.8,515.2,511.2,509,495.8
荃灣區,新界及離島,Tsuen Wan,New Territories and Islands,305.6,318.9,317.3,314.7,315.2,313.4,320.1
屯門區,新界及離島,Tuen Mun,New Territories and Islands,504,489.3,488.6,502.4,502.6,502.9,506.9
元朗區,新界及離島,Yuen Long,New Territories and Islands,612.9,614.9,629.9,640.2,649,645.1,668.1
北區,新界及離島,North,New Territories and Islands,315.2,315.3,316.9,318.5,318,318.6,309.6
大埔區,新界及離島,Tai Po,New Territories and Islands,308,303.9,306.5,310.7,309.8,311.1,316.5
沙田區,新界及離島,Sha Tin,New Territories and Islands,663.8,659.8,681.6,684.6,691.4,688.9,692.8
西貢區,新界及離島,Sai Kung,New Territories and Islands,461.2,461.9,466.8,472,475.3,475.8,489
離島區,新界及離島,Islands,New Territories and Islands,149.5,156.8,162.6,172.8,188.1,186.3,185.3
